Score;Pair;Time;Strategy;takeprofit;threshold;timeout;stochTimeframe;stoploss;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;holdtime/positions;hittimeout;hittp;hitsl;
-0,00279999999999978;EURUSD;168;SSIStochStrategy;0,06;0,14;30;480;0,03;109;0,00810000000000022;9,9999999999989E-05;0,651376146788991;0,440366972477064;7,43119266055066E-05;0,00115714285714289;15,5714285714286;43;33;33;43;
0,0091999999999992;EURUSD;168;SSIStochStrategy;0,31;0,12;60;900;0,28;42;0,0133999999999992;-0,00130000000000008;0,571428571428571;0,571428571428571;0,0003190476190476;0,0019142857142856;6;128;39;1;1;
-0,019500000000001;EURUSD;168;SSIStochStrategy;0,25;0,16;150;240;0,02;100;-0,00950000000000095;-0,013400000000001;0,66;0,18;-9,50000000000095E-05;-0,00135714285714299;14,2857142857143;39;14;3;82;
-0,00540000000000015;EURUSD;168;SSIStochStrategy;0,08;0,22;150;780;0,11;47;-0,000700000000000145;-0,00570000000000026;0,574468085106383;0,51063829787234;-1,48936170212797E-05;-0,000100000000000021;6,71428571428571;125;11;19;17;
-0,0137000000000007;EURUSD;168;SSIStochStrategy;0,33;0,11;180;60;0,31;41;-0,00960000000000072;-0,00960000000000072;0,536585365853659;0,414634146341463;-0,000234146341463432;-0,00137142857142867;5,85714285714286;236;33;3;4;
0,0176999999999993;EURUSD;168;SSIStochStrategy;0,37;0,17;150;900;0,38;24;0,0200999999999993;0,000899999999999901;0,583333333333333;0,625;0,000837499999999972;0,00287142857142848;3,42857142857143;259;20;3;0;
-1,03042574473022E-15;EURUSD;168;SSIStochStrategy;0,04;0,15;90;780;0,37;53;0,00529999999999897;0,000899999999999901;0,622641509433962;0,679245283018868;9,99999999999806E-05;0,00075714285714271;7,57142857142857;102;18;33;1;
-0,00819999999999977;EURUSD;168;SSIStochStrategy;0,21;0,17;120;60;0,3;61;-0,00209999999999977;-0,00339999999999963;0,557377049180328;0,426229508196721;-3,44262295081929E-05;-0,000299999999999967;8,71428571428571;151;46;9;5;
0,0007999999999998;EURUSD;168;SSIStochStrategy;0,1;0,22;120;1080;0,14;30;0,0037999999999998;-0,000400000000000178;0,5;0,533333333333333;0,00012666666666666;0,000542857142857115;4,28571428571429;177;14;9;6;
-0,000100000000000391;EURUSD;168;SSIStochStrategy;0,06;0,1;150;300;0,23;57;0,00559999999999961;-0,000300000000000189;0,701754385964912;0,719298245614035;9,82456140350808E-05;0,000799999999999944;8,14285714285714;122;14;37;5;
0,0119000000000002;EURUSD;168;SSIStochStrategy;0,5;0,16;210;720;0,21;24;0,0143000000000002;0,000899999999999901;0,666666666666667;0,583333333333333;0,000595833333333342;0,00204285714285717;3,42857142857143;292;18;2;3;
