Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;hitsl;hittp;hitto;
0,00090000000000008;GBPUSD;744;FastMovement-Strategy;90;26;0,49;0,04;0,02;True;4;0,00130000000000008;0;0;0,75;0,00032500000000002;4,19354838709703E-05;0,129032258064516;1;13;1;3;0;
-0,0194000000000004;GBPUSD;744;FastMovement-Strategy;70;5;0,13;0,06;0,37;False;32;-0,0162000000000004;-0,0182000000000007;0,5625;0,59375;-0,000506250000000014;-0,000522580645161304;1,03225806451613;0,444444444444444;35;3;19;10;
0,00060000000000011;GBPUSD;744;FastMovement-Strategy;50;14;0,48;0,07;0,28;False;4;0,00100000000000011;0;1;0,5;0,000250000000000028;3,22580645161326E-05;0,129032258064516;1;27;0;2;2;
-0,00139999999999986;GBPUSD;744;FastMovement-Strategy;180;4;0,61;0,41;0,03;False;1;-0,00129999999999986;-0,00129999999999986;1;0;-0,00129999999999986;-4,19354838709631E-05;0,032258064516129;n. def.;16;1;0;0;
-0,00989999999999962;GBPUSD;744;FastMovement-Strategy;140;2;0,22;0,18;0,23;False;4;-0,00949999999999962;-0,00949999999999962;0,75;0,25;-0,00237499999999991;-0,000306451612903214;0,129032258064516;0;53;3;0;1;
0,00030000000000002;GBPUSD;744;FastMovement-Strategy;180;7;0,2;0,29;0,39;True;15;0,00180000000000002;-0,00849999999999995;0,466666666666667;0,4;0,000120000000000002;5,8064516129033E-05;0,483870967741936;0,5;152;1;3;11;
-0,0237000000000002;GBPUSD;744;FastMovement-Strategy;150;10;0,16;0,1;0,2;False;30;-0,0207000000000002;-0,0207000000000002;0,6;0,533333333333333;-0,000690000000000005;-0,000667741935483876;0,967741935483871;0,555555555555556;50;12;14;4;
-0,00249999999999996;GBPUSD;744;FastMovement-Strategy;190;4;0,64;0,18;0,39;True;1;-0,00239999999999996;-0,00239999999999996;0;0;-0,00239999999999996;-7,74193548387083E-05;0,032258064516129;n. def.;191;0;0;1;
0,00809999999999994;GBPUSD;744;FastMovement-Strategy;50;14;0,32;0,13;0,17;True;5;0,00859999999999994;-0,00109999999999988;0,2;0,8;0,00171999999999999;0,000277419354838708;0,161290322580645;0,666666666666667;20;1;4;0;
0,00380000000000036;GBPUSD;744;FastMovement-Strategy;130;8;0,24;0,25;0,3;True;10;0,00480000000000036;-0,00529999999999986;0,4;0,5;0,000480000000000036;0,000154838709677431;0,32258064516129;0,4;96;1;4;5;
-0,00510000000000015;GBPUSD;744;FastMovement-Strategy;180;12;0,37;0,02;0,07;False;4;-0,00470000000000015;-0,00470000000000015;1;0,5;-0,00117500000000004;-0,000151612903225811;0,129032258064516;0,5;9;2;2;0;
0,00480000000000009;GBPUSD;744;FastMovement-Strategy;190;24;0,44;0,24;0,28;True;4;0,00520000000000009;0;0;0,5;0,00130000000000002;0,000167741935483874;0,129032258064516;1;117;0;2;2;
-0,000499999999999967;GBPUSD;744;FastMovement-Strategy;170;20;0,56;0,33;0,16;False;2;-0,000299999999999967;-0,00249999999999995;1;0,5;-0,000149999999999983;-9,67741935483764E-06;0,0645161290322581;0;114;1;0;1;
-0,0821000000000011;GBPUSD;744;FastMovement-Strategy;170;7;0,03;0,1;0,35;True;313;-0,0508000000000011;-0,0601000000000012;0,492012779552716;0,479233226837061;-0,000162300319488821;-0,00163870967741939;10,0967741935484;0,0769230769230769;185;16;106;191;
0,00280000000000012;GBPUSD;744;FastMovement-Strategy;140;11;0,62;0,38;0,09;False;1;0,00290000000000012;0;1;1;0,00290000000000012;9,35483870967782E-05;0,032258064516129;n. def.;141;0;0;1;
0,0142000000000001;GBPUSD;744;FastMovement-Strategy;170;25;0,27;0,06;0,16;True;14;0,0156000000000001;0;0,428571428571429;0,857142857142857;0,00111428571428572;0,000503225806451615;0,451612903225806;0,666666666666667;42;2;12;0;
-0,041100000000001;GBPUSD;744;FastMovement-Strategy;70;26;0,15;0,35;0,11;False;80;-0,033100000000001;-0,035400000000001;0,525;0,3875;-0,000413750000000013;-0,0010677419354839;2,58064516129032;0,363636363636364;55;35;2;43;
-0,00169999999999985;GBPUSD;744;FastMovement-Strategy;10;13;0,47;0,31;0,04;False;3;-0,00139999999999985;-0,00229999999999997;1;0,666666666666667;-0,000466666666666615;-4,51612903225757E-05;0,0967741935483871;0;10;1;0;2;
0,00130000000000007;GBPUSD;744;FastMovement-Strategy;110;15;0,7;0,09;0,2;True;1;0,00140000000000007;0;0;1;0,00140000000000007;4,51612903225828E-05;0,032258064516129;n. def.;68;0;1;0;
-0,0206999999999979;GBPUSD;744;FastMovement-Strategy;180;23;0,07;0,31;0,14;True;180;-0,00269999999999793;-0,0129999999999981;0,494444444444444;0,444444444444444;-1,49999999999885E-05;-8,70967741934815E-05;5,80645161290323;0,461538461538462;191;59;9;111;
-0,000399999999999767;GBPUSD;744;FastMovement-Strategy;90;13;0,53;0,11;0,02;False;3;-9,99999999997669E-05;-0,00180000000000002;1;0,333333333333333;-3,33333333332556E-05;-3,22580645160538E-06;0,0967741935483871;1;5;2;1;0;
-0,0004;GBPUSD;744;FastMovement-Strategy;10;27;0,59;0,29;0,32;False;4;0;-0,00109999999999988;1;0,75;0;0;0,129032258064516;0;12;0;0;4;
-0,00359999999999985;GBPUSD;744;FastMovement-Strategy;30;2;0,37;0,29;0,11;False;2;-0,00339999999999985;-0,00339999999999985;1;0;-0,00169999999999992;-0,000109677419354834;0,0645161290322581;0;3;2;0;0;
-0,00310000000000011;GBPUSD;744;FastMovement-Strategy;50;2;0,48;0,05;0,07;True;1;-0,00300000000000011;-0,00300000000000011;0;0;-0,00300000000000011;-9,67741935483908E-05;0,032258064516129;n. def.;1;1;0;0;
-0,0037999999999999;GBPUSD;744;FastMovement-Strategy;110;29;0,22;0,16;0,26;True;29;-0,000899999999999901;-0,00599999999999978;0,482758620689655;0,448275862068966;-3,10344827586173E-05;-2,90322580645129E-05;0,935483870967742;0,5;90;1;8;20;
-0,0120999999999998;GBPUSD;744;FastMovement-Strategy;40;18;0,17;0,35;0,27;False;39;-0,00819999999999976;-0,00859999999999994;0,564102564102564;0,538461538461538;-0,000210256410256404;-0,00026451612903225;1,25806451612903;0,545454545454545;39;2;1;36;
0,00249999999999992;GBPUSD;744;FastMovement-Strategy;60;7;0,52;0,23;0,34;True;2;0,00269999999999992;0;0;0,5;0,00134999999999996;8,7096774193546E-05;0,0645161290322581;1;37;0;1;1;
0,00570000000000024;GBPUSD;744;FastMovement-Strategy;90;11;0,63;0,19;0,35;False;2;0,00590000000000024;0;1;1;0,00295000000000012;0,000190322580645169;0,0645161290322581;n. def.;45;0;2;0;
-0,00129999999999971;GBPUSD;744;FastMovement-Strategy;120;21;0,32;0,19;0,3;True;7;-0,000599999999999712;-0,00289999999999968;0,428571428571429;0,571428571428571;-8,57142857142446E-05;-1,93548387096681E-05;0,225806451612903;0,6;85;1;2;4;
0,00160000000000001;GBPUSD;744;FastMovement-Strategy;50;28;0,69;0,38;0,35;False;3;0,00190000000000001;-0,00209999999999999;1;0,666666666666667;0,000633333333333338;6,12903225806456E-05;0,0967741935483871;0;51;0;0;3;
0,00330000000000007;GBPUSD;744;FastMovement-Strategy;150;6;0,54;0,3;0,25;False;1;0,00340000000000007;0;1;1;0,00340000000000007;0,000109677419354841;0,032258064516129;n. def.;151;0;0;1;
-0,141699999999999;GBPUSD;744;FastMovement-Strategy;20;22;0,02;0,18;0,22;False;1044;-0,0372999999999988;-0,0436999999999994;0,5;0,477969348659004;-3,57279693486578E-05;-0,00120322580645157;33,6774193548387;0,25;31;0;7;1036;
-0,00439999999999997;GBPUSD;744;FastMovement-Strategy;50;1;0,31;0,09;0,28;False;1;-0,00429999999999997;-0,00429999999999997;1;0;-0,00429999999999997;-0,000138709677419354;0,032258064516129;n. def.;17;1;0;0;
-0,0110999999999993;GBPUSD;744;FastMovement-Strategy;90;25;0,24;0,03;0,23;False;25;-0,00859999999999927;-0,00940000000000008;0,48;0,68;-0,000343999999999971;-0,000277419354838686;0,806451612903226;0,428571428571429;26;4;17;4;
-0,0163999999999999;GBPUSD;744;FastMovement-Strategy;160;25;0,21;0,15;0,05;False;33;-0,0130999999999999;-0,0130999999999999;0,606060606060606;0,303030303030303;-0,000396969696969694;-0,000422580645161287;1,06451612903226;0,5;40;23;8;2;
-0,0067999999999991;GBPUSD;744;FastMovement-Strategy;10;21;0,18;0,23;0,35;True;47;-0,0020999999999991;-0,00779999999999914;0,446808510638298;0,361702127659574;-4,46808510638107E-05;-6,7741935483842E-05;1,51612903225806;0,4;12;0;0;47;
0,00439999999999994;GBPUSD;744;FastMovement-Strategy;100;7;0,39;0,36;0,15;True;2;0,00459999999999994;0;0;0,5;0,00229999999999997;0,000148387096774192;0,0645161290322581;1;90;0;1;1;
0,0141000000000003;GBPUSD;744;FastMovement-Strategy;110;6;0,09;0,35;0,31;True;77;0,0218000000000003;-0,0046999999999997;0,519480519480519;0,493506493506494;0,000283116883116887;0,000703225806451621;2,48387096774194;0,454545454545455;103;6;7;64;
-9,99999999996004E-05;GBPUSD;744;FastMovement-Strategy;130;28;0,12;0,38;0,37;True;102;0,0101000000000004;-0,00979999999999914;0,46078431372549;0,470588235294118;9,90196078431416E-05;0,000325806451612917;3,29032258064516;0,461538461538462;202;7;4;91;
-0,00529999999999959;GBPUSD;744;FastMovement-Strategy;130;12;0,22;0,39;0,13;False;16;-0,00369999999999959;-0,00520000000000009;0,5;0,4375;-0,000231249999999975;-0,000119354838709664;0,516129032258065;0,5;79;7;0;9;
0,00870000000000011;GBPUSD;744;FastMovement-Strategy;150;18;0,37;0,41;0,09;True;4;0,00910000000000011;0;0;0,5;0,00227500000000003;0,000293548387096778;0,129032258064516;1;88;2;1;1;
0,0091000000000001;GBPUSD;744;FastMovement-Strategy;40;13;0,16;0,21;0,14;True;37;0,0128000000000001;-0,00150000000000006;0,432432432432432;0,513513513513513;0,00034594594594595;0,000412903225806456;1,19354838709677;0,5;34;8;4;25;
-0,0346999999999994;GBPUSD;744;FastMovement-Strategy;60;16;0,1;0,23;0,3;False;134;-0,0212999999999994;-0,0218999999999994;0,507462686567164;0,455223880597015;-0,000158955223880593;-0,00068709677419353;4,32258064516129;0,583333333333333;58;5;7;122;
-0,00300000000000012;GBPUSD;744;FastMovement-Strategy;90;5;0,55;0,25;0,38;True;1;-0,00290000000000012;-0,00290000000000012;0;0;-0,00290000000000012;-9,35483870967782E-05;0,032258064516129;n. def.;91;0;0;1;
-0,00379999999999957;GBPUSD;744;FastMovement-Strategy;140;9;0,19;0,23;0,29;False;19;-0,00189999999999957;-0,00379999999999958;0,578947368421053;0,631578947368421;-9,99999999999773E-05;-6,12903225806313E-05;0,612903225806452;0,571428571428571;119;4;2;13;
-0,0626999999999998;GBPUSD;744;FastMovement-Strategy;190;28;0,02;0,09;0,14;False;366;-0,0260999999999998;-0,0281000000000002;0,5;0,562841530054645;-7,13114754098355E-05;-0,000841935483870961;11,8064516129032;0,5;190;63;157;145;
-0,0040999999999998;GBPUSD;744;FastMovement-Strategy;70;25;0,69;0,31;0,07;True;3;-0,0037999999999998;-0,0037999999999998;0;0;-0,0012666666666666;-0,000122580645161284;0,0967741935483871;0;6;3;0;0;
0,0107000000000001;GBPUSD;744;FastMovement-Strategy;160;20;0,36;0,07;0,22;True;5;0,0112000000000001;0;0,2;1;0,00224000000000002;0,000361290322580648;0,161290322580645;1;20;0;5;0;
-0,000700000000000066;GBPUSD;744;FastMovement-Strategy;140;10;0,25;0,29;0,07;True;13;0,000599999999999934;-0,002;0,538461538461538;0,230769230769231;4,61538461538411E-05;1,93548387096753E-05;0,419354838709677;0,5;26;10;2;1;
0,00590000000000019;GBPUSD;744;FastMovement-Strategy;70;11;0,35;0,04;0,18;True;4;0,00630000000000019;0;0;1;0,00157500000000005;0,000203225806451619;0,129032258064516;1;17;0;4;0;
-0,00380000000000006;GBPUSD;744;FastMovement-Strategy;190;19;0,54;0,12;0,19;True;3;-0,00350000000000006;-0,00350000000000006;0;0,333333333333333;-0,00116666666666669;-0,000112903225806454;0,0967741935483871;0;31;2;1;0;
-0,00609999999999994;GBPUSD;744;FastMovement-Strategy;10;24;0,28;0,17;0,13;False;15;-0,00459999999999994;-0,00459999999999994;0,533333333333333;0,733333333333333;-0,000306666666666663;-0,000148387096774192;0,483870967741936;0,666666666666667;14;0;0;15;
-0,190300000000004;GBPUSD;744;FastMovement-Strategy;30;20;0,02;0,34;0,4;True;896;-0,100700000000004;-0,100700000000004;0,508928571428571;0,385044642857143;-0,000112388392857148;-0,00324838709677434;28,9032258064516;0,230769230769231;41;3;0;892;
-0,00449999999999997;GBPUSD;744;FastMovement-Strategy;180;23;0,7;0,03;0,13;True;2;-0,00429999999999997;-0,00429999999999997;0;0;-0,00214999999999999;-0,000138709677419354;0,0645161290322581;0;18;2;0;0;
-0,0392999999999994;GBPUSD;744;FastMovement-Strategy;110;4;0,09;0,17;0,34;False;56;-0,0336999999999994;-0,0345999999999995;0,482142857142857;0,446428571428571;-0,000601785714285703;-0,00108709677419353;1,80645161290323;0,454545454545455;92;7;11;38;
-0,0586999999999981;GBPUSD;744;FastMovement-Strategy;160;12;0,05;0,26;0,3;False;210;-0,0376999999999981;-0,0376999999999981;0,509523809523809;0,476190476190476;-0,0001795238095238;-0,001216129032258;6,7741935483871;0,230769230769231;245;17;16;176;
-0,0308999999999978;GBPUSD;744;FastMovement-Strategy;10;27;0,09;0,03;0,13;False;351;0,0042000000000022;-0,00470000000000037;0,467236467236467;0,595441595441595;1,19658119658182E-05;0,000135483870967813;11,3225806451613;0,416666666666667;11;0;135;216;
-0,00810000000000003;GBPUSD;744;FastMovement-Strategy;20;1;0,27;0,07;0,36;False;3;-0,00780000000000003;-0,00780000000000003;0,666666666666667;0,333333333333333;-0,00260000000000001;-0,000251612903225807;0,0967741935483871;0;19;1;1;1;
0,00189999999999941;GBPUSD;744;FastMovement-Strategy;120;25;0,22;0,04;0,03;True;35;0,00539999999999941;-0,00170000000000026;0,428571428571429;0,371428571428571;0,000154285714285697;0,000174193548387078;1,12903225806452;0,5;11;22;13;0;
-0,00710000000000015;GBPUSD;744;FastMovement-Strategy;40;15;0,42;0,23;0,15;False;4;-0,00670000000000015;-0,00710000000000011;1;0,25;-0,00167500000000004;-0,000216129032258069;0,129032258064516;0;27;2;0;2;
-0,00729999999999954;GBPUSD;744;FastMovement-Strategy;160;22;0,19;0,34;0,22;True;31;-0,00419999999999954;-0,0105;0,387096774193548;0,354838709677419;-0,000135483870967727;-0,000135483870967727;1;0,555555555555556;131;7;5;19;
0,00239999999999995;GBPUSD;744;FastMovement-Strategy;110;2;0,53;0,25;0,17;False;1;0,00249999999999995;0;1;1;0,00249999999999995;8,06451612903209E-05;0,032258064516129;n. def.;111;0;0;1;
-0,00139999999999986;GBPUSD;744;FastMovement-Strategy;40;4;0,66;0,35;0,06;False;1;-0,00129999999999986;-0,00129999999999986;1;0;-0,00129999999999986;-4,19354838709631E-05;0,032258064516129;n. def.;16;1;0;0;
0,0052000000000004;GBPUSD;744;FastMovement-Strategy;120;10;0,1;0,12;0,26;True;94;0,0146000000000004;-0,0109999999999995;0,468085106382979;0,542553191489362;0,000155319148936174;0,000470967741935496;3,03225806451613;0,5;85;9;38;47;
0,00680000000000031;GBPUSD;744;FastMovement-Strategy;30;24;0,39;0,27;0,29;True;5;0,00730000000000031;0;0,2;0,8;0,00146000000000006;0,000235483870967752;0,161290322580645;0,666666666666667;31;0;0;5;
0,00090000000000003;GBPUSD;744;FastMovement-Strategy;60;8;0,27;0,02;0,22;True;8;0,00170000000000003;-0,00339999999999985;0,375;0,75;0,000212500000000004;5,48387096774205E-05;0,258064516129032;0,5;20;1;6;1;
0,00950000000000002;GBPUSD;744;FastMovement-Strategy;90;19;0,37;0,06;0,13;True;4;0,00990000000000002;0;0;1;0,00247500000000001;0,000319354838709678;0,129032258064516;1;24;0;4;0;
-0,000599999999999945;GBPUSD;744;FastMovement-Strategy;20;5;0,48;0,33;0,26;False;1;-0,000499999999999945;-0,000499999999999945;1;0;-0,000499999999999945;-1,61290322580627E-05;0,032258064516129;n. def.;21;0;0;1;
0,00100000000000008;GBPUSD;744;FastMovement-Strategy;50;13;0,59;0,17;0,15;False;3;0,00130000000000008;-0,00270000000000015;1;0,666666666666667;0,00043333333333336;4,19354838709703E-05;0,0967741935483871;1;21;1;1;1;
-0,00550000000000023;GBPUSD;744;FastMovement-Strategy;170;20;0,24;0,38;0,39;False;15;-0,00400000000000023;-0,00400000000000023;0,6;0,4;-0,000266666666666682;-0,000129032258064523;0,483870967741936;0,5;141;2;2;11;
-0,0350000000000003;GBPUSD;744;FastMovement-Strategy;100;23;0,12;0,4;0,37;False;97;-0,0253000000000003;-0,0306000000000002;0,515463917525773;0,45360824742268;-0,000260824742268045;-0,000816129032258075;3,12903225806452;0,416666666666667;98;3;3;91;
0,00280000000000012;GBPUSD;744;FastMovement-Strategy;140;3;0,58;0,16;0,17;False;1;0,00290000000000012;0;1;1;0,00290000000000012;9,35483870967782E-05;0,032258064516129;n. def.;1;0;1;0;
