Score;Pair;Time;Strategy;takeprofit;threshold;timeout;stochTimeframe;stoploss;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;hittimeout;hittp;hitsl;
-0,0696999999999982;GBPUSD;744;SSIStochStrategy;0,05;0,19;90;360;0,18;267;-0,0429999999999982;-0,045999999999998;0,531835205992509;0,50936329588015;-0,00016104868913857;-0,00138709677419349;8,61290322580645;0,166666666666667;112;135;106;26;
-0,0330999999999997;GBPUSD;744;SSIStochStrategy;0,22;0,15;90;1140;0,08;139;-0,0191999999999997;-0,0275999999999996;0,424460431654676;0,402877697841727;-0,000138129496402875;-0,000619354838709667;4,48387096774194;0,230769230769231;67;78;9;51;
-0,0540999999999984;GBPUSD;744;SSIStochStrategy;0,08;0,08;120;360;0,22;192;-0,0348999999999984;-0,0364999999999982;0,536458333333333;0,526041666666667;-0,000181770833333325;-0,00112580645161285;6,19354838709677;0,384615384615385;164;110;58;23;
-0,034599999999999;GBPUSD;744;SSIStochStrategy;0,04;0,16;30;1080;0,19;212;-0,013399999999999;-0,0251999999999992;0,452830188679245;0,476415094339623;-6,32075471698065E-05;-0,000432258064516096;6,83870967741936;0,230769230769231;38;146;62;4;
-0,0376000000000004;GBPUSD;744;SSIStochStrategy;0,16;0,14;60;900;0,23;170;-0,0206000000000004;-0,0258000000000005;0,488235294117647;0,423529411764706;-0,000121176470588238;-0,000664516129032271;5,48387096774194;0,230769230769231;57;150;13;6;
-0,0965999999999984;GBPUSD;744;SSIStochStrategy;0,21;0,21;60;240;0,24;301;-0,0664999999999984;-0,0719999999999985;0,518272425249169;0,408637873754153;-0,000220930232558134;-0,00214516129032253;9,70967741935484;0,166666666666667;85;284;7;10;
-0,0567000000000011;GBPUSD;744;SSIStochStrategy;0,03;0,17;60;360;0,13;361;-0,0206000000000011;-0,029000000000001;0,518005540166205;0,606648199445983;-5,70637119113603E-05;-0,000664516129032292;11,6451612903226;0,461538461538462;47;119;203;38;
-0,0522000000000014;GBPUSD;744;SSIStochStrategy;0,23;0,2;60;60;0,15;427;-0,0095000000000014;-0,012699999999999;0,484777517564403;0,48711943793911;-2,22482435597222E-05;-0,000306451612903271;13,7741935483871;0,5;90;384;13;30;
-0,0514999999999993;GBPUSD;744;SSIStochStrategy;0,28;0,11;150;540;0,04;205;-0,0309999999999993;-0,0309999999999993;0,478048780487805;0,273170731707317;-0,000151219512195118;-0,000999999999999976;6,61290322580645;0,307692307692308;95;56;9;139;
-0,0583999999999995;GBPUSD;744;SSIStochStrategy;0,18;0,14;180;300;0,31;138;-0,0445999999999995;-0,0466999999999993;0,514492753623188;0,405797101449275;-0,000323188405797098;-0,00143870967741934;4,45161290322581;0,25;217;107;20;10;
-0,0596000000000006;GBPUSD;744;SSIStochStrategy;0,29;0,19;30;180;0,11;507;-0,00890000000000057;-0,0136000000000005;0,516765285996055;0,439842209072978;-1,75542406311648E-05;-0,000287096774193567;16,3548387096774;0,416666666666667;45;471;4;32;
-0,0392999999999986;GBPUSD;744;SSIStochStrategy;0,13;0,1;150;1140;0,17;102;-0,0290999999999986;-0,0292999999999985;0,470588235294118;0,441176470588235;-0,000285294117647045;-0,000938709677419309;3,29032258064516;0,384615384615385;162;57;23;21;
-0,0525999999999995;GBPUSD;744;SSIStochStrategy;0,26;0,08;90;720;0,12;157;-0,0368999999999995;-0,0390999999999995;0,484076433121019;0,407643312101911;-0,000235031847133755;-0,00119032258064514;5,06451612903226;0,384615384615385;146;114;5;37;
