Score;Pair;Time;Strategy;takeprofit;threshold;timeout;stochTimeframe;stoploss;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;hittimeout;hittp;hitsl;
-0,0510000000000011;USDCHF;744;SSIStochStrategy;0,26;0,09;210;1020;0,04;237;-0,0273000000000011;-0,0303000000000008;0,552742616033755;0,172995780590717;-0,000115189873417726;-0,000880645161290358;7,64516129032258;0,384615384615385;58;24;18;194;
0,0017000000000008;USDCHF;744;SSIStochStrategy;0,12;0,12;150;540;0,18;183;0,0200000000000008;-0,0164000000000002;0,524590163934426;0,557377049180328;0,000109289617486343;0,000645161290322606;5,90322580645161;0,615384615384615;120;65;78;39;
-0,0630000000000001;USDCHF;744;SSIStochStrategy;0,15;0,21;90;180;0,12;348;-0,0282000000000001;-0,0282000000000001;0,497126436781609;0,405172413793103;-8,1034482758621E-05;-0,000909677419354842;11,2258064516129;0,416666666666667;70;166;72;109;
-0,0209999999999997;USDCHF;744;SSIStochStrategy;0,16;0,14;120;840;0,06;240;0,00300000000000034;-0,0140000000000006;0,5375;0,3375;1,25000000000014E-05;9,67741935483979E-05;7,74193548387097;0,5;59;41;54;145;
-0,0355000000000005;USDCHF;744;SSIStochStrategy;0,06;0,16;150;780;0,15;229;-0,0126000000000005;-0,0232999999999999;0,541484716157205;0,633187772925764;-5,50218340611376E-05;-0,000406451612903242;7,38709677419355;0,5;55;34;136;59;
-0,148500000000002;USDCHF;744;SSIStochStrategy;0,04;0,11;60;120;0,05;844;-0,0641000000000018;-0,0715000000000016;0,52132701421801;0,469194312796209;-7,59478672985804E-05;-0,00206774193548393;27,2258064516129;0,0833333333333333;19;62;379;402;
-0,0449000000000006;USDCHF;744;SSIStochStrategy;0,22;0,12;180;480;0,06;259;-0,0190000000000006;-0,0300000000000004;0,544401544401544;0,250965250965251;-7,33590733590756E-05;-0,00061290322580647;8,35483870967742;0,384615384615385;72;40;39;180;
-0,0876999999999994;USDCHF;744;SSIStochStrategy;0,09;0,18;90;840;0,03;429;-0,0447999999999994;-0,0467999999999995;0,517482517482518;0,205128205128205;-0,000104428904428903;-0,00144516129032256;13,8387096774194;0,153846153846154;22;20;75;334;
-0,0996000000000015;USDCHF;744;SSIStochStrategy;0,03;0,14;30;960;0,05;448;-0,0548000000000015;-0,0577000000000015;0,53125;0,441964285714286;-0,000122321428571432;-0,00176774193548392;14,4516129032258;0;11;68;184;196;
-0,0255000000000003;USDCHF;744;SSIStochStrategy;0,19;0,21;90;240;0,09;330;0,00749999999999973;-0,0131999999999998;0,46969696969697;0,424242424242424;2,27272727272719E-05;0,000241935483870959;10,6451612903226;0,538461538461538;76;143;49;137;
