Score;Pair;Time;Strategy;Threshold Open;Threshold Close;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;
-3,45019999999999;USDJPY;744;SSIStrategy;0,22;0,31;True;2;-3,44999999999999;-3,44999999999999;0,5;0,5;-1,72499999999999;-0,111290322580645;0,0645161290322581;0,5;28060;
-16,1711999999995;USDJPY;744;SSIStrategy;0,1;0,14;True;4212;-15,7499999999995;-15,7499999999995;0,999762583095916;0,0097340930674264;-0,00373931623931611;-0,508064516129015;135,870967741935;0,222222222222222;13;
3,39959999999999;USDJPY;744;SSIStrategy;0,3;0,04;False;4;3,39999999999999;0;0,25;0,75;0,849999999999998;0,109677419354838;0,129032258064516;0,666666666666667;4679;
-16,2609999999988;USDJPY;744;SSIStrategy;0,18;0,19;False;4910;-15,7699999999988;-15,7699999999988;0,99979633401222;0,00244399185336049;-0,003211812627291;-0,508709677419316;158,387096774194;0;9;
0,250100000000471;USDJPY;744;SSIStrategy;0,04;0,29;False;1699;0,420000000000471;-2,09999999999961;1;0,0264861683343143;0,00024720423778721;0,0135483870967894;54,8064516129032;0,333333333333333;21;
-10,0316999999988;USDJPY;744;SSIStrategy;0;0,19;False;4917;-9,53999999999883;-9,58999999999882;1;0,0174903396379906;-0,00194020744356291;-0,307741935483833;158,612903225806;0,416666666666667;4;
3,39959999999999;USDJPY;744;SSIStrategy;0,29;0,03;False;4;3,39999999999999;0;0,25;0,75;0,849999999999998;0,109677419354838;0,129032258064516;0,666666666666667;4679;
3,64969999999999;USDJPY;744;SSIStrategy;0,25;0,17;False;3;3,64999999999999;0;0,333333333333333;0,666666666666667;1,21666666666666;0,117741935483871;0,0967741935483871;0,666666666666667;10335;
-3,45039999999999;USDJPY;744;SSIStrategy;0,28;0,03;True;4;-3,44999999999999;-3,44999999999999;0,75;0,25;-0,862499999999997;-0,111290322580645;0,129032258064516;0,333333333333333;4679;
1,99630000000031;USDJPY;744;SSIStrategy;0,02;0,33;False;837;2,08000000000031;-0,179999999999708;1;0,032258064516129;0,00248506571087253;0,0670967741935584;27;0,4;45;
