Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;hitsl;hittp;hitto;
-1,6042;USDJPY;744;FastMovement-Strategy;180;5;0,07;0,14;0,05;False;142;-1,59;-1,71000000000002;0,47887323943662;0,302816901408451;-0,0111971830985916;-0,0512903225806453;4,58064516129032;0,272727272727273;40;96;36;10;
-0,435500000000007;USDJPY;744;FastMovement-Strategy;10;16;0,15;0,1;0,12;True;55;-0,430000000000007;-1,08000000000001;0,509090909090909;0,472727272727273;-0,00781818181818194;-0,0138709677419357;1,7741935483871;0,5;11;6;0;49;
0,119700000000019;USDJPY;744;FastMovement-Strategy;170;3;0,37;0,1;0,27;True;3;0,120000000000019;-0,179999999999993;0,666666666666667;0,666666666666667;0,0400000000000063;0,00387096774193609;0,0967741935483871;0,5;11;1;2;0;
0,0697999999999932;USDJPY;744;FastMovement-Strategy;110;25;0,54;0,4;0,05;True;2;0,0699999999999932;0,0699999999999932;1;0,5;0,0349999999999966;0,00225806451612881;0,0645161290322581;1;67;1;0;1;
0,605800000000005;USDJPY;744;FastMovement-Strategy;170;22;0,09;0,3;0,17;False;142;0,620000000000005;-0,480000000000004;0,5;0,5;0,00436619718309862;0,0200000000000001;4,58064516129032;0,545454545454545;159;33;14;95;
-3,73529999999979;USDJPY;744;FastMovement-Strategy;30;27;0,05;0,24;0,29;True;553;-3,67999999999979;-5,4499999999998;0,504520795660036;0,401446654611212;-0,00665461121157286;-0,118709677419348;17,8387096774194;0,307692307692308;41;5;1;547;
-0,430199999999993;USDJPY;744;FastMovement-Strategy;30;4;0,41;0,16;0,3;False;2;-0,429999999999993;-0,429999999999993;0;0;-0,214999999999996;-0,0138709677419352;0,0645161290322581;0;30;1;0;1;
0,409800000000011;USDJPY;744;FastMovement-Strategy;130;12;0,43;0,38;0,32;True;2;0,410000000000011;-0,0599999999999881;1;0,5;0,205000000000005;0,0132258064516133;0,0645161290322581;1;87;0;1;1;
-0,180199999999993;USDJPY;744;FastMovement-Strategy;180;23;0,56;0,15;0,03;False;2;-0,179999999999993;-0,179999999999993;0;0;-0,0899999999999963;-0,00580645161290299;0,0645161290322581;0;19;2;0;0;
0;USDJPY;744;FastMovement-Strategy;190;1;0,68;0,36;0,12;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0,099700000000009;USDJPY;744;FastMovement-Strategy;70;25;0,51;0,11;0,17;True;3;0,100000000000009;-0,209999999999994;0,666666666666667;0,666666666666667;0,0333333333333362;0,00322580645161318;0,0967741935483871;0,5;24;1;2;0;
0,489799999999995;USDJPY;744;FastMovement-Strategy;120;6;0,66;0,28;0,17;True;2;0,489999999999995;0,340000000000003;1;1;0,244999999999997;0,0158064516129031;0,0645161290322581;1;89;0;1;1;
-0,0904000000000176;USDJPY;744;FastMovement-Strategy;110;24;0,45;0,18;0,19;False;4;-0,0900000000000176;-0,0900000000000176;0,25;0,5;-0,0225000000000044;-0,00290322580645218;0,129032258064516;0;21;2;2;0;
-0,951100000000017;USDJPY;744;FastMovement-Strategy;20;13;0,28;0,23;0,25;True;11;-0,950000000000017;-1,20000000000002;0,454545454545455;0,363636363636364;-0,0863636363636379;-0,0306451612903231;0,354838709677419;0,2;19;1;0;10;
-1,3711;USDJPY;744;FastMovement-Strategy;160;11;0,29;0,09;0,18;True;11;-1,37;-1,74000000000001;0,363636363636364;0,363636363636364;-0,124545454545455;-0,0441935483870969;0,354838709677419;0,2;26;6;4;1;
0,219699999999999;USDJPY;744;FastMovement-Strategy;180;16;0,48;0,16;0,16;False;3;0,219999999999999;0,189999999999998;0,333333333333333;0,666666666666667;0,073333333333333;0,00709677419354835;0,0967741935483871;0,5;48;1;2;0;
-1,4216999999999;USDJPY;744;FastMovement-Strategy;90;9;0,08;0,26;0,34;True;117;-1,4099999999999;-1,95999999999991;0,538461538461538;0,487179487179487;-0,0120512820512812;-0,0454838709677386;3,7741935483871;0,272727272727273;85;7;10;100;
0,0498000000000114;USDJPY;744;FastMovement-Strategy;110;14;0,39;0,23;0,15;True;2;0,0500000000000114;-0,239999999999995;1;0,5;0,0250000000000057;0,00161290322580682;0,0645161290322581;1;21;1;1;0;
-0,416599999999911;USDJPY;744;FastMovement-Strategy;70;11;0,11;0,35;0,36;False;66;-0,409999999999911;-1,14999999999996;0,545454545454545;0,409090909090909;-0,00621212121211987;-0,01322580645161;2,12903225806452;0,444444444444444;69;3;2;61;
1,44910000000002;USDJPY;744;FastMovement-Strategy;140;12;0,29;0,36;0,29;False;9;1,45000000000002;0,350000000000009;0,555555555555556;0,777777777777778;0,161111111111113;0,0467741935483876;0,290322580645161;1;92;2;3;4;
0,0797999999999983;USDJPY;744;FastMovement-Strategy;30;15;0,66;0,22;0,38;True;2;0,0799999999999983;0,0799999999999983;1;0,5;0,0399999999999991;0,00258064516129027;0,0645161290322581;1;31;0;0;2;
-0,400200000000006;USDJPY;744;FastMovement-Strategy;180;12;0,45;0,4;0,16;True;2;-0,400000000000006;-0,400000000000006;1;0;-0,200000000000003;-0,0129032258064518;0,0645161290322581;0;9;2;0;0;
-0,740799999999981;USDJPY;744;FastMovement-Strategy;90;19;0,35;0,28;0,1;True;8;-0,739999999999981;-1,28999999999999;0,625;0,25;-0,0924999999999976;-0,0238709677419349;0,258064516129032;0,5;20;6;2;0;
-0,635699999999886;USDJPY;744;FastMovement-Strategy;190;26;0,05;0,11;0,32;True;257;-0,609999999999886;-2,92999999999988;0,521400778210117;0,501945525291829;-0,00237354085603068;-0,019677419354835;8,29032258064516;0,461538461538462;193;17;82;158;
-0,290199999999992;USDJPY;744;FastMovement-Strategy;150;11;0,6;0,37;0,26;False;2;-0,289999999999992;-0,289999999999992;0;0,5;-0,144999999999996;-0,00935483870967716;0,0645161290322581;0;141;1;0;1;
-0,360199999999999;USDJPY;744;FastMovement-Strategy;60;7;0,61;0,39;0,14;False;2;-0,359999999999999;-0,359999999999999;0;0;-0,18;-0,0116129032258064;0,0645161290322581;0;41;2;0;0;
0,0784999999999608;USDJPY;744;FastMovement-Strategy;20;10;0,1;0,4;0,03;True;115;0,0899999999999608;-0,400000000000006;0,478260869565217;0,373913043478261;0,000782608695651833;0,00290322580645035;3,70967741935484;0,4;12;66;0;49;
-1,17199999999993;USDJPY;744;FastMovement-Strategy;40;23;0,07;0,15;0,1;True;320;-1,13999999999993;-2,35999999999999;0,4875;0,4125;-0,00356249999999978;-0,0367741935483848;10,3225806451613;0,5;38;50;10;260;
-1,04079999999999;USDJPY;744;FastMovement-Strategy;120;21;0,35;0,4;0,14;True;8;-1,03999999999999;-1,56;0,625;0,25;-0,129999999999999;-0,0335483870967739;0,258064516129032;0,25;35;6;1;1;
0,688399999999984;USDJPY;744;FastMovement-Strategy;10;13;0,25;0,15;0,36;False;16;0,689999999999984;-0,110000000000014;0,5625;0,4375;0,043124999999999;0,0222580645161285;0,516129032258065;0,666666666666667;9;0;3;13;
