pair;timeframe;strategy;thresholdOpen;thresholdClose;followTrend;positions;profit;drawdown;long;winratio;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;meanholdtime;stringCodedParams;stringCodedPositions;
EURUSD;912;SSIStrategy;0,2;0,06;False;10;0,0145000000000002;-0,00229999999999997;0,2;0,6;0,4;-0,00349999999999995;0,00474999999999999;0,00145000000000002;0,00550174214832598;0,00204328167417028;0,0060138589940237;4400;pair:EURUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,2|thresholdClose:0,06|followTrend:False;S:1444168749265:1,1269:1444291469265:1,1292|S:1444300399265:1,1297:1445527409265:1,1157|L:1445544789265:1,1109:1445570699265:1,1116|S:1446055599265:1,0975:1446712279265:1,0867|S:1446817589265:1,0726:1447020349265:1,0735|S:1447038409265:1,0769:1447103199265:1,0753|L:1447105959265:1,0748:1447160389265:1,0702|S:1447160699265:1,0701:1447175639265:1,069|S:1447179569265:1,0712:1447317649265:1,0709|S:1447318949265:1,071:1447451939265:1,0772|;
USDJPY;912;SSIStrategy;0,41;0,17;True;2;-1,60000000000001;-1,60000000000001;0,5;0,5;0,5;-1,89;0,289999999999992;-0,800000000000004;0;0;1,09;13827;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,41|thresholdClose:0,17|followTrend:True;L:1444954379265:119,12:1445239959265:119,41|S:1446078229265:120,77:1447451939265:122,66|;
USDCHF;912;SSIStrategy;0,28;0,28;False;5079;-0,599600000000004;-0,599600000000004;0,999803110848592;0,000393778302815515;0;-0,000162767978290367;9,9999999999989E-05;-0,000162625440737728;0;0,000883979494506892;0,00088376088527477;10;pair:USDCHF|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,28|thresholdClose:0,28|followTrend:False;More than 1000;
USDJPY;912;SSIStrategy;0,34;0,05;True;3;-3,17999999999999;-3,17999999999999;0,666666666666667;0,333333333333333;0,333333333333333;-1,755;0,329999999999998;-1,06;0;0,995000000000005;1,27517319085161;7217;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,34|thresholdClose:0,05|followTrend:True;L:1444726659265:119,69:1444846349265:118,93|L:1444944749265:118,92:1445006589265:119,25|S:1445987839265:120,43:1447105529265:123,18|;
USDJPY;912;SSIStrategy;0,21;0,3;True;2;-2,80999999999999;-2,80999999999999;0,5;0,5;0,5;-3,23999999999999;0,430000000000007;-1,40499999999999;0;0;1,835;33233;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,21|thresholdClose:0,3|followTrend:True;L:1444202639265:119,99:1445987509265:120,42|S:1445248829265:119,42:1447451939265:122,66|;
USDJPY;912;SSIStrategy;0,03;0,45;True;1;2,34;0;1;1;1;n. def.;2,34;2,34;0;n. def.;0;54719;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,03|thresholdClose:0,45|followTrend:True;L:1444168749265:120,24:1447451939265:122,58|;
USDJPY;912;SSIStrategy;0,24;0,05;True;7;-4,31999999999999;-4,31999999999999;0,714285714285714;0,142857142857143;0;-0,789999999999999;0,420000000000002;-0,617142857142856;0;0,905575323574286;0,939250678325387;4211;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,24|thresholdClose:0,05|followTrend:True;L:1444218379265:120,12:1444328329265:119,74|L:1444720729265:119,77:1444846349265:118,93|L:1444870319265:119,08:1444918449265:118,56|L:1444936419265:118,83:1445006589265:119,25|L:1445027099265:119,46:1445233369265:119,29|S:1445986639265:120,44:1447105529265:123,18|S:1447362279265:122,57:1447451939265:122,66|;
USDJPY;912;SSIStrategy;0,31;0,32;False;7823;-22,4799999999974;-22,4799999999974;0,999872171801099;0,00191742298351016;0;-0,0117680707228276;0,0100000000000013;-0,011599587203301;6,28427645755252E-15;0,0677964151347121;0,0675604735401469;5;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,31|thresholdClose:0,32|followTrend:False;More than 1000;
EURUSD;912;SSIStrategy;0,5;0,44;True;1;-0,0720000000000001;-0,0720000000000001;1;0;0;-0,0720000000000001;n. def.;-0,0720000000000001;n. def.;0;0;43359;pair:EURUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,5|thresholdClose:0,44|followTrend:True;L:1444850369265:1,1487:1447451939265:1,0767|;
GBPUSD;912;SSIStrategy;0,27;0,2;False;8;-0,0785999999999998;-0,0785999999999998;0,5;0,25;0,142857142857143;-0,01565;0,00765000000000005;-0,00982499999999997;0,00185000000000002;0,0124510709044109;0,0147959242698792;5103;pair:GBPUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,27|thresholdClose:0,2|followTrend:False;S:1444181699265:1,5233:1444419319265:1,5319|L:1444420169265:1,5317:1444759619265:1,5254|S:1444760169265:1,5256:1444911759265:1,5472|L:1445460259265:1,5419:1445563209265:1,5406|S:1445564069265:1,5402:1445611539265:1,5344|L:1445623789265:1,5325:1446219719265:1,542|L:1446474889265:1,5454:1447034749265:1,5063|S:1447037159265:1,5071:1447451939265:1,5241|;
USDCHF;912;SSIStrategy;0,45;0,09;False;1;-0,0158999999999999;-0,0158999999999999;1;0;0;-0,0158999999999999;n. def.;-0,0158999999999999;n. def.;0;0;11296;pair:USDCHF|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,45|thresholdClose:0,09|followTrend:False;L:1444218499265:0,9661:1444896259265:0,9502|;
EURUSD;912;SSIStrategy;0,48;0,05;True;1;-0,0321;-0,0321;1;0;0;-0,0321;n. def.;-0,0321;n. def.;0;0;11311;pair:EURUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,48|thresholdClose:0,05|followTrend:True;L:1444848699265:1,1477:1445527409265:1,1156|;
GBPUSD;912;SSIStrategy;0,13;0,12;False;77;-0,0606999999999986;-0,0618999999999987;0,766233766233766;0,233766233766234;0,363636363636364;-0,00266499999999998;0,00255000000000004;-0,00104655172413791;0,00157841340873959;0,00638277173334597;0,0058898573109946;701;pair:GBPUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,13|thresholdClose:0,12|followTrend:False;S:1444168749265:1,5232:1444306239265:1,5278|L:1444306359265:1,5277:1444312189265:1,5272|S:1444312189265:1,5272:1444380749265:1,5356|L:1444402679265:1,5307:1444725479265:1,5274|S:1444725479265:1,5274:1444738789265:1,5211|L:1444739779265:1,5214:1444750429265:1,5247|S:1444750429265:1,5247:1444872969265:1,5463|L:1444873029265:1,5462:1444877149265:1,5479|S:1444877149265:1,5479:1444896439265:1,5459|L:1444896569265:1,5463:1445022419265:1,5457|S:1445022419265:1,5457:1445025679265:1,5435|L:1445025749265:1,5434:1445237979265:1,5456|S:1445237979265:1,5456:1445285419265:1,5463|L:1445285659265:1,5464:1445316869265:1,5478|S:1445316869265:1,5478:1445368099265:1,544|L:1445368289265:1,5441:1445548559265:1,5394|S:1445548559265:1,5394:1445550219265:1,5385|L:1445550289265:1,5382:1445562469265:1,54|S:1445562469265:1,54:1445607999265:1,5349|L:1445609129265:1,5349:1445833869265:1,5337|S:1445833869265:1,5337:1445843799265:1,5318|L:1445843859265:1,5318:1446214669265:1,5373|S:1446214669265:1,5373:1446232289265:1,5427|L:1446232539265:1,5416:1446420069265:1,5435|S:1446420069265:1,5435:1446441739265:1,5428|S:1446455639265:1,5456:1446474149265:1,5456|L:1446474639265:1,5451:1446567249265:1,5399|L:1446712099265:1,5397:1446712099265:1,5397|L:1446712109265:1,5398:1446712109265:1,5397|L:1446712119265:1,5397:1446712119265:1,5397|L:1446712129265:1,5399:1446712129265:1,5399|L:1446712139265:1,5398:1446712139265:1,5397|L:1446712149265:1,5398:1446712149265:1,5398|L:1446712159265:1,5397:1446712159265:1,5397|L:1446712169265:1,5398:1446712169265:1,5397|L:1446712179265:1,5396:1446712179265:1,5395|L:1446712189265:1,5392:1446712189265:1,5392|L:1446712199265:1,5393:1446712199265:1,5392|L:1446712209265:1,5392:1446712209265:1,5391|L:1446712219265:1,5392:1446712219265:1,5391|L:1446712229265:1,5391:1446712229265:1,539|L:1446712239265:1,5391:1446712239265:1,539|L:1446712249265:1,5391:1446712249265:1,5391|L:1446712259265:1,539:1446712259265:1,5389|L:1446712269265:1,5389:1446712269265:1,5388|L:1446712279265:1,5389:1446712279265:1,5388|L:1446712289265:1,539:1446712289265:1,5389|L:1446712299265:1,539:1446712299265:1,5389|L:1446712309265:1,539:1446712309265:1,5389|L:1446712319265:1,5388:1446712319265:1,5388|L:1446712329265:1,5389:1446712329265:1,5388|L:1446712339265:1,5391:1446712339265:1,539|L:1446712349265:1,539:1446712349265:1,5389|L:1446712359265:1,5391:1446712359265:1,539|L:1446712369265:1,5391:1446712369265:1,539|L:1446712379265:1,5389:1446712379265:1,5388|L:1446712389265:1,5388:1446712389265:1,5387|L:1446712399265:1,5388:1446712399265:1,5388|L:1446712409265:1,5388:1446712409265:1,5387|L:1446712419265:1,5388:1446712419265:1,5387|L:1446712429265:1,5387:1446712429265:1,5387|L:1446712439265:1,5388:1446712439265:1,5388|L:1446712449265:1,5388:1446712449265:1,5388|L:1446712459265:1,5387:1446712459265:1,5387|L:1446712469265:1,5388:1446712469265:1,5388|L:1446712479265:1,5388:1446712479265:1,5388|L:1446712489265:1,5389:1446712489265:1,5389|L:1446712499265:1,539:1446712499265:1,539|L:1446712509265:1,5391:1446712509265:1,5391|L:1446712519265:1,5391:1446712519265:1,539|S:1446567249265:1,5399:1446712529265:1,5391|L:1446713449265:1,5386:1446842219265:1,5049|S:1446842219265:1,5049:1447224049265:1,5159|L:1447226279265:1,5157:1447240419265:1,5179|S:1447240419265:1,5179:1447318879265:1,5186|L:1447319569265:1,5194:1447342619265:1,5216|S:1447342619265:1,5216:1447451939265:1,5241|;
USDJPY;912;SSIStrategy;0,48;0,48;False;0;0;0;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,48|thresholdClose:0,48|followTrend:False;;
USDCHF;912;SSIStrategy;0,35;0,44;False;1;0,0387000000000001;0;1;1;1;n. def.;0,0387000000000001;0,0387000000000001;0;n. def.;0;53902;pair:USDCHF|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,35|thresholdClose:0,44|followTrend:False;L:1444217769265:0,9668:1447451939265:1,0055|;
USDCHF;912;SSIStrategy;0,41;0,13;True;2;0,0172999999999999;0;0;1;1;n. def.;0,00864999999999994;0,00864999999999994;0,00765000000000005;n. def.;0,00765000000000005;6426;pair:USDCHF|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,41|thresholdClose:0,13|followTrend:True;S:1444217829265:0,9668:1444897919265:0,9505|S:1447020039265:1,0045:1447111149265:1,0035|;
GBPUSD;912;SSIStrategy;0,17;0,25;False;14554;-1,19610000000008;-1,19610000000008;0,999931290366909;0,00192386972653566;0,0769230769230769;-0,000135166043545204;0,00118214285714287;-0,000131122560841929;0,00294182324071177;0,000229832915490115;0,000290750170395202;6;pair:GBPUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,17|thresholdClose:0,25|followTrend:False;More than 1000;
EURUSD;912;SSIStrategy;0,1;0,27;False;1245;-0,0524000000000033;-0,102300000000003;0,999196787148594;0,00240963855421687;0,4;-0,000162951334379911;0,0171333333333334;-8,18750000000052E-05;0,0230342257424806;0,000882683267748883;0,00215830870923856;54;pair:EURUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,1|thresholdClose:0,27|followTrend:False;More than 1000;
