Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;hitsl;hittp;hitto;
0;EURUSD;-449;FastMovement-Strategy;60;20;0,44;0,02;0,19;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;60;13;0,5;0,4;0,29;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;80;20;0,36;0,26;0,03;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;130;10;0,32;0,03;0,32;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;3;0,34;0,06;0,13;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;17;0,46;0,16;0,08;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;190;7;0,35;0,14;0,02;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;20;12;0,45;0,26;0,07;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;3;0,64;0,07;0,35;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;20;0,66;0,38;0,31;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;10;12;0,23;0,03;0,17;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;160;13;0,54;0,06;0,13;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;160;17;0,31;0,26;0,26;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;25;0,13;0,08;0,24;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;16;0,33;0,19;0,38;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;60;2;0,42;0,31;0,38;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;9;0,03;0,23;0,02;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;100;13;0,22;0,06;0,02;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;13;0,62;0,34;0,06;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;60;4;0,49;0,16;0,08;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;170;15;0,62;0,29;0,33;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;13;0,44;0,22;0,19;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;7;0,24;0,37;0,19;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;5;0,65;0,33;0,21;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;25;0,14;0,35;0,12;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;19;0,3;0,09;0,33;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;1;0,22;0,28;0,31;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;5;0,33;0,3;0,2;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;190;5;0,65;0,13;0,32;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;24;0,49;0,08;0,12;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;180;21;0,51;0,27;0,18;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;14;0,1;0,31;0,38;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;100;14;0,63;0,02;0,28;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;29;0,09;0,33;0,28;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;24;0,36;0,19;0,27;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;14;0,07;0,04;0,11;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;11;0,4;0,35;0,04;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;110;21;0,28;0,26;0,24;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;160;13;0,45;0,31;0,11;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;1;0,22;0,12;0,39;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;10;29;0,51;0,18;0,16;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;21;0,14;0,24;0,22;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;2;0,6;0,03;0,11;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;27;0,24;0,01;0,12;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;5;0,41;0,07;0,25;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;130;16;0,15;0,09;0,12;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;3;0,32;0,37;0,05;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;80;17;0,3;0,06;0,32;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;15;0,16;0,29;0,04;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;14;0,13;0,3;0,22;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;130;13;0,61;0,41;0,03;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;9;0,07;0,21;0,15;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;1;0,21;0,3;0,22;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;23;0,32;0,22;0,33;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;25;0,5;0,02;0,08;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;24;0,58;0,18;0,05;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;7;0,28;0,11;0,16;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;190;8;0,28;0,13;0,32;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;25;0,36;0,29;0,07;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;100;13;0,22;0,18;0,38;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;29;0,36;0,26;0,02;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;20;0,18;0,4;0,12;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;22;0,11;0,14;0,38;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;40;18;0,25;0,02;0,23;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;20;19;0,58;0,19;0,14;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;170;8;0,48;0,31;0,06;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;2;0,51;0,36;0,41;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;2;0,09;0,02;0,28;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;40;16;0,43;0,2;0,04;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;18;0,38;0,39;0,29;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;16;0,4;0,33;0,32;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;28;0,11;0,23;0,3;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
