Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;holdtime/positions;hitsl;hittp;hitto
0,0079;EURUSD;168;FastMovement-Strategy;70;24;0,29;0,16;0,03;TRUE;5;0,0084;0,0066;0;0,4;0,00168;0,0012;0,714285714;15;3;2;0
0,0079;EURUSD;168;FastMovement-Strategy;120;14;0,25;0,23;0,37;TRUE;6;0,0085;0,0004;0;0,666666667;0,001416667;0,001214286;0,857142857;72;0;3;3
0,0079;EURUSD;168;FastMovement-Strategy;110;18;0,21;0,39;0,14;TRUE;9;0,0088;0,0005;0,111111111;0,444444444;0,000977778;0,001257143;1,285714286;66;4;3;2
0,0079;EURUSD;168;FastMovement-Strategy;30;8;0,3;0,26;0,24;TRUE;2;0,0081;0,0049;0;1;0,00405;0,001157143;0,285714286;23;0;2;0
0,0079;EURUSD;168;FastMovement-Strategy;150;2;0,15;0,3;0,13;TRUE;3;0,0082;0,0043;0;0,666666667;0,002733333;0,001171429;0,428571429;28;1;2;0
0,0079;EURUSD;168;FastMovement-Strategy;190;28;0,21;0,2;0,22;TRUE;13;0,0092;-0,0032;0,153846154;0,538461538;0,000707692;0,001314286;1,857142857;110;5;5;3
0,0079;EURUSD;168;FastMovement-Strategy;100;21;0,19;0,29;0,05;TRUE;18;0,0097;-0,0006;0,222222222;0,277777778;0,000538889;0,001385714;2,571428571;29;13;4;1
0,0079;EURUSD;168;FastMovement-Strategy;160;24;0,34;0,22;0,3;TRUE;3;0,0082;0,0029;0;1;0,002733333;0,001171429;0,428571429;90;0;3;0
0,0079;EURUSD;168;FastMovement-Strategy;90;22;0,35;0,21;0,29;TRUE;3;0,0082;0,0032;0;1;0,002733333;0,001171429;0,428571429;44;0;3;0
0,0079;EURUSD;168;FastMovement-Strategy;190;24;0,5;0,12;0,35;TRUE;3;0,0082;0,0052;0;1;0,002733333;0,001171429;0,428571429;45;0;3;0
0,0079;EURUSD;168;FastMovement-Strategy;170;22;0,35;0,18;0,28;TRUE;3;0,0082;0,0032;0;1;0,002733333;0,001171429;0,428571429;44;0;3;0
0,0078;EURUSD;168;FastMovement-Strategy;140;11;0,38;0,4;0,35;TRUE;2;0,008;0,0055;0;1;0,004;0,001142857;0,285714286;83;0;1;1
0,0078;EURUSD;168;FastMovement-Strategy;60;16;0,61;0,41;0,24;TRUE;2;0,008;0,0052;0;1;0,004;0,001142857;0,285714286;41;0;1;1
0,0078;EURUSD;168;FastMovement-Strategy;80;23;0,3;0,21;0,08;TRUE;3;0,0081;0,0029;0;1;0,0027;0,001157143;0,428571429;32;0;3;0
0,0078;EURUSD;168;FastMovement-Strategy;190;22;0,3;0,28;0,16;TRUE;4;0,0082;0,0035;0;0,75;0,00205;0,001171429;0,571428571;48;1;3;0
0,0078;EURUSD;168;FastMovement-Strategy;110;6;0,2;0,19;0,16;TRUE;5;0,0083;0,0003;0;0,8;0,00166;0,001185714;0,714285714;34;1;3;1
0,0078;EURUSD;168;FastMovement-Strategy;10;9;0,21;0,2;0,31;TRUE;8;0,0086;0,0003;0,125;0,75;0,001075;0,001228571;1,142857143;10;0;1;7
0,0078;EURUSD;168;FastMovement-Strategy;110;15;0,34;0,2;0,2;TRUE;3;0,0081;0,0044;0;1;0,0027;0,001157143;0,428571429;51;0;2;1
0,0078;EURUSD;168;FastMovement-Strategy;40;24;0,27;0,04;0,13;TRUE;7;0,0085;0,0009;0;0,714285714;0,001214286;0,001214286;1;23;2;5;0
0,0078;EURUSD;168;FastMovement-Strategy;80;21;0,22;0,15;0,11;TRUE;10;0,0088;-1,00E-04;0,1;0,4;0,00088;0,001257143;1,428571429;35;4;4;2
0,0078;EURUSD;168;FastMovement-Strategy;90;15;0,1;0,38;0,03;TRUE;58;0,0136;-0,0002;0,465517241;0,25862069;0,000234483;0,001942857;8,285714286;31;43;3;11
0,0078;EURUSD;168;FastMovement-Strategy;130;22;0,28;0,11;0,23;TRUE;5;0,0083;0,0029;0;0,8;0,00166;0,001185714;0,714285714;44;0;4;1
0,0078;EURUSD;168;FastMovement-Strategy;130;22;0,29;0,1;0,23;TRUE;5;0,0083;0,0035;0;0,8;0,00166;0,001185714;0,714285714;42;0;4;1
