Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;holdtime/positions;hitsl;hittp;hitto
0,0014;EURUSD;168;FastMovement-Strategy;190;3;0,6;0,04;0,05;FALSE;1;0,0015;0,0015;1;1;0,0015;0,000214286;0,142857143;1;0;1;0
0,0014;EURUSD;168;FastMovement-Strategy;30;29;0,09;0,37;0,34;TRUE;81;0,0095;-0,0026;0,444444444;0,395061728;0,000117284;0,001357143;11,57142857;31;1;0;80
0,0014;EURUSD;168;FastMovement-Strategy;170;8;0,4;0,34;0,23;TRUE;2;0,0016;0,0016;0;0,5;0,0008;0,000228571;0,285714286;16;1;1;0
0,0014;EURUSD;168;FastMovement-Strategy;70;15;0,6;0,39;0,07;TRUE;4;0,0018;-0,0023;0;0,25;0,00045;0,000257143;0,571428571;5;3;1;0
0,0014;EURUSD;168;FastMovement-Strategy;10;9;0,32;0,04;0,3;TRUE;4;0,0018;-0,0007;0;0,5;0,00045;0,000257143;0,571428571;8;0;2;2
0,0014;EURUSD;168;FastMovement-Strategy;30;25;0,37;0,37;0,02;TRUE;4;0,0018;0,0018;0;0,25;0,00045;0,000257143;0,571428571;13;3;0;1
0,0014;EURUSD;168;FastMovement-Strategy;120;12;0,33;0,01;0,34;TRUE;4;0,0018;0,0003;0;1;0,00045;0,000257143;0,571428571;10;0;4;0
0,0014;EURUSD;168;FastMovement-Strategy;20;2;0,26;0,02;0,31;FALSE;2;0,0016;0,0012;1;1;0,0008;0,000228571;0,285714286;6;0;2;0
0,0014;EURUSD;168;FastMovement-Strategy;160;5;0,35;0,07;0,33;FALSE;2;0,0016;0,0008;1;1;0,0008;0,000228571;0,285714286;6;0;2;0
0,0014;EURUSD;168;FastMovement-Strategy;10;5;0,29;0,2;0,17;TRUE;2;0,0016;-0,0025;0;0,5;0,0008;0,000228571;0,285714286;9;1;0;1
0,0014;EURUSD;168;FastMovement-Strategy;120;5;0,28;0,34;0,17;TRUE;2;0,0016;-0,0025;0;0,5;0,0008;0,000228571;0,285714286;9;1;1;0
0,0014;EURUSD;168;FastMovement-Strategy;20;29;0,67;0,04;0,21;TRUE;2;0,0016;-0,0025;0;0,5;0,0008;0,000228571;0,285714286;12;1;1;0
0,0014;EURUSD;168;FastMovement-Strategy;170;29;0,67;0,16;0,22;TRUE;2;0,0016;-0,0025;0;0,5;0,0008;0,000228571;0,285714286;12;1;1;0
0,0014;EURUSD;168;FastMovement-Strategy;30;22;0,69;0,35;0,19;TRUE;2;0,0016;-0,0025;0;0,5;0,0008;0,000228571;0,285714286;9;1;1;0
0,0014;EURUSD;168;FastMovement-Strategy;20;26;0,6;0,05;0,2;TRUE;3;0,0017;-0,0025;0;0,333333333;0,000566667;0,000242857;0,428571429;14;1;1;1
0,0014;EURUSD;168;FastMovement-Strategy;10;20;0,6;0,12;0,26;TRUE;3;0,0017;-0,0007;0;0,333333333;0,000566667;0,000242857;0,428571429;10;0;1;2
0,0014;EURUSD;168;FastMovement-Strategy;80;28;0,57;0,16;0,16;TRUE;3;0,0017;-0,0025;0;0,333333333;0,000566667;0,000242857;0,428571429;12;2;1;0
0,0014;EURUSD;168;FastMovement-Strategy;100;18;0,54;0,07;0,17;FALSE;4;0,0018;0,001;1;0,75;0,00045;0,000257143;0,571428571;5;1;3;0
0,0014;EURUSD;168;FastMovement-Strategy;20;25;0,57;0,35;0,11;TRUE;4;0,0018;-0,0036;0;0,25;0,00045;0,000257143;0,571428571;6;3;1;0
0,0014;EURUSD;168;FastMovement-Strategy;150;5;0,12;0,34;0,13;FALSE;18;0,0032;-0,0055;0,611111111;0,5;0,000177778;0,000457143;2,571428571;84;8;3;7
0,0014;EURUSD;168;FastMovement-Strategy;20;16;0,17;0,18;0,23;TRUE;20;0,0034;-0,0006;0,3;0,4;0,00017;0,000485714;2,857142857;20;2;1;17
0,0013;EURUSD;168;FastMovement-Strategy;170;13;0,16;0,38;0,19;TRUE;18;0,0031;-0,0048;0,333333333;0,444444444;0,000172222;0,000442857;2,571428571;93;9;4;5
0,0013;EURUSD;168;FastMovement-Strategy;150;18;0,58;0,4;0,02;TRUE;4;0,0017;-0,0025;0;0,25;0,000425;0,000242857;0,571428571;4;3;1;0
0,0013;EURUSD;168;FastMovement-Strategy;150;8;0,11;0,27;0,2;FALSE;28;0,0041;-0,0021;0,535714286;0,464285714;0,000146429;0,000585714;4;103;9;9;10
0,0013;EURUSD;168;FastMovement-Strategy;70;12;0,16;0,38;0,08;TRUE;16;0,0029;0,0008;0,25;0,375;0,00018125;0,000414286;2,285714286;38;10;2;4
0,0013;EURUSD;168;FastMovement-Strategy;30;12;0,55;0,16;0,02;FALSE;2;0,0015;0,0015;1;0,5;0,00075;0,000214286;0,285714286;5;1;1;0
0,0013;EURUSD;168;FastMovement-Strategy;20;13;0,59;0,17;0,21;FALSE;2;0,0015;0,0015;1;0,5;0,00075;0,000214286;0,285714286;14;0;1;1
0,0013;EURUSD;168;FastMovement-Strategy;110;23;0,64;0,19;0,09;TRUE;3;0,0016;-0,0036;0;0,333333333;0,000533333;0,000228571;0,428571429;6;2;1;0
0,0013;EURUSD;168;FastMovement-Strategy;120;14;0,55;0,28;0,08;TRUE;3;0,0016;-0,0014;0;0,333333333;0,000533333;0,000228571;0,428571429;8;2;1;0
0,0013;EURUSD;168;FastMovement-Strategy;140;25;0,39;0,27;0,05;TRUE;3;0,0016;0,0016;0;0,333333333;0,000533333;0,000228571;0,428571429;36;2;1;0
0,0013;EURUSD;168;FastMovement-Strategy;40;8;0,34;0,13;0,08;FALSE;4;0,0017;0,0012;1;0,5;0,000425;0,000242857;0,571428571;7;2;2;0
0,0013;EURUSD;168;FastMovement-Strategy;50;9;0,52;0,04;0,35;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;30;7;0,6;0,07;0,33;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;130;4;0,45;0,08;0,28;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;140;9;0,47;0,07;0,35;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;70;9;0,48;0,09;0,34;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;180;15;0,68;0,05;0,28;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;13;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;180;2;0,38;0,11;0,29;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;140;8;0,57;0,09;0,38;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;50;2;0,51;0,03;0,3;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;50;9;0,47;0,03;0,25;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;100;1;0,3;0,12;0,36;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;90;3;0,43;0,08;0,29;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;70;2;0,31;0,06;0,27;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;70;1;0,29;0,07;0,36;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;50;1;0,27;0,03;0,26;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;140;5;0,55;0,08;0,33;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;140;2;0,59;0,11;0,39;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;80;11;0,61;0,06;0,27;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;190;9;0,53;0,08;0,38;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;90;2;0,35;0,07;0,33;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;130;7;0,59;0,09;0,32;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;60;12;0,65;0,04;0,4;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;180;9;0,66;0,03;0,26;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;13;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;160;10;0,54;0,11;0,24;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;90;11;0,63;0,06;0,25;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;30;4;0,54;0,11;0,34;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;100;5;0,51;0,03;0,26;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;190;10;0,61;0,04;0,36;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;40;1;0,29;0,1;0,36;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;170;3;0,37;0,12;0,3;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;40;6;0,62;0,05;0,3;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;13;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;150;4;0,43;0,09;0,24;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;80;10;0,61;0,09;0,4;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;160;1;0,24;0,08;0,25;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;70;4;0,43;0,08;0,38;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;160;2;0,32;0,08;0,29;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;50;7;0,64;0,08;0,32;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;13;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;160;10;0,58;0,04;0,39;TRUE;1;0,0014;0,0014;0;1;0,0014;0,0002;0,142857143;14;0;1;0
0,0013;EURUSD;168;FastMovement-Strategy;60;6;0,36;0,06;0,19;FALSE;2;0,0015;0,0008;1;1;0,00075;0,000214286;0,285714286;5;0;2;0
0,0013;EURUSD;168;FastMovement-Strategy;120;21;0,68;0,21;0,17;TRUE;2;0,0015;-0,0025;0;0,5;0,00075;0,000214286;0,285714286;8;1;1;0
0,0013;EURUSD;168;FastMovement-Strategy;160;3;0,33;0,02;0,17;FALSE;2;0,0015;0,0012;1;1;0,00075;0,000214286;0,285714286;1;0;2;0
0,0013;EURUSD;168;FastMovement-Strategy;20;21;0,69;0,3;0,16;TRUE;2;0,0015;-0,0025;0;0,5;0,00075;0,000214286;0,285714286;8;1;1;0
0,0013;EURUSD;168;FastMovement-Strategy;50;21;0,68;0,13;0,17;TRUE;2;0,0015;-0,0025;0;0,5;0,00075;0,000214286;0,285714286;8;1;1;0
0,0013;EURUSD;168;FastMovement-Strategy;160;18;0,48;0,01;0,4;TRUE;2;0,0015;0,0012;0;1;0,00075;0,000214286;0,285714286;21;0;2;0
0,0013;EURUSD;168;FastMovement-Strategy;60;21;0,62;0,11;0,15;TRUE;2;0,0015;-0,0025;0;0,5;0,00075;0,000214286;0,285714286;8;1;1;0
0,0013;EURUSD;168;FastMovement-Strategy;140;13;0,63;0,01;0,03;FALSE;2;0,0015;0,0012;1;1;0,00075;0,000214286;0,285714286;1;0;2;0
0,0013;EURUSD;168;FastMovement-Strategy;40;6;0,38;0,06;0,39;FALSE;2;0,0015;0,0008;1;1;0,00075;0,000214286;0,285714286;5;0;2;0
0,0013;EURUSD;168;FastMovement-Strategy;180;17;0,7;0,01;0,16;FALSE;2;0,0015;0,0005;1;1;0,00075;0,000214286;0,285714286;2;0;2;0
0,0013;EURUSD;168;FastMovement-Strategy;40;20;0,44;0,27;0,13;TRUE;2;0,0015;0,0015;0;0,5;0,00075;0,000214286;0,285714286;15;1;1;0
0,0013;EURUSD;168;FastMovement-Strategy;50;18;0,47;0,02;0,23;TRUE;2;0,0015;0,0012;0;1;0,00075;0,000214286;0,285714286;21;0;2;0
0,0013;EURUSD;168;FastMovement-Strategy;180;21;0,68;0,34;0,22;TRUE;2;0,0015;-0,0025;0;0,5;0,00075;0,000214286;0,285714286;8;1;1;0
0,0013;EURUSD;168;FastMovement-Strategy;110;21;0,67;0,3;0,15;TRUE;2;0,0015;-0,0025;0;0,5;0,00075;0,000214286;0,285714286;8;1;1;0
0,0013;EURUSD;168;FastMovement-Strategy;10;21;0,61;0,35;0,16;TRUE;2;0,0015;-0,0025;0;0,5;0,00075;0,000214286;0,285714286;8;1;1;0
0,0013;EURUSD;168;FastMovement-Strategy;70;7;0,34;0,05;0,37;FALSE;2;0,0015;0,0008;1;1;0,00075;0,000214286;0,285714286;5;0;2;0
0,0013;EURUSD;168;FastMovement-Strategy;110;28;0,4;0,29;0,07;TRUE;4;0,0017;0,0017;0;0,25;0,000425;0,000242857;0,571428571;12;3;1;0
0,0013;EURUSD;168;FastMovement-Strategy;170;27;0,49;0,04;0,1;TRUE;5;0,0018;-0,0025;0;0,4;0,00036;0,000257143;0,714285714;8;3;2;0
0,0013;EURUSD;168;FastMovement-Strategy;170;14;0,28;0,08;0,21;TRUE;5;0,0018;0,0014;0;0,8;0,00036;0,000257143;0,714285714;27;1;4;0
0,0013;EURUSD;168;FastMovement-Strategy;100;16;0,11;0,4;0,18;TRUE;39;0,0052;-0,0025;0,487179487;0,487179487;0,000133333;0,000742857;5,571428571;78;13;3;22
0,0013;EURUSD;168;FastMovement-Strategy;170;24;0,53;0,09;0,03;TRUE;5;0,0018;-0,0025;0;0,2;0,00036;0,000257143;0,714285714;5;4;1;0
0,0013;EURUSD;168;FastMovement-Strategy;120;27;0,15;0,21;0,4;TRUE;28;0,0041;-0,0034;0,392857143;0,607142857;0,000146429;0,000585714;4;107;2;6;19
0,0013;EURUSD;168;FastMovement-Strategy;190;26;0,11;0,34;0,35;TRUE;33;0,0046;-0,0092;0,454545455;0,393939394;0,000139394;0,000657143;4,714285714;165;3;5;24
0,0012;EURUSD;168;FastMovement-Strategy;160;18;0,12;0,04;0,1;TRUE;54;0,0066;-0,0012;0,407407407;0,648148148;0,000122222;0,000942857;7,714285714;25;18;34;1
0,0012;EURUSD;168;FastMovement-Strategy;10;17;0,23;0,36;0,38;TRUE;11;0,0023;0,0004;0,090909091;0,545454545;0,000209091;0,000328571;1,571428571;12;0;0;11
0,0012;EURUSD;168;FastMovement-Strategy;190;17;0,69;0,26;0,18;TRUE;2;0,0014;0,0014;0;0,5;0,0007;0,0002;0,285714286;8;1;1;0
0,0012;EURUSD;168;FastMovement-Strategy;160;2;0,18;0,18;0,12;TRUE;2;0,0014;-0,0015;0;0,5;0,0007;0,0002;0,285714286;16;1;1;0
0,0012;EURUSD;168;FastMovement-Strategy;110;21;0,62;0,23;0,08;TRUE;3;0,0015;-0,0025;0;0,333333333;0,0005;0,000214286;0,428571429;4;2;1;0
0,0012;EURUSD;168;FastMovement-Strategy;150;18;0,49;0,13;0,03;FALSE;3;0,0015;-0,0004;1;0,666666667;0,0005;0,000214286;0,428571429;9;1;2;0
0,0012;EURUSD;168;FastMovement-Strategy;10;18;0,45;0,18;0,02;FALSE;3;0,0015;-0,0004;1;0,666666667;0,0005;0,000214286;0,428571429;9;1;1;1
0,0012;EURUSD;168;FastMovement-Strategy;160;21;0,64;0,09;0,08;TRUE;3;0,0015;-0,0025;0;0,333333333;0,0005;0,000214286;0,428571429;4;2;1;0
0,0012;EURUSD;168;FastMovement-Strategy;10;10;0,28;0,35;0,12;TRUE;3;0,0015;-0,0024;0;0,666666667;0,0005;0,000214286;0,428571429;10;1;0;2
0,0012;EURUSD;168;FastMovement-Strategy;180;27;0,42;0,21;0,07;TRUE;4;0,0016;0,0016;0;0,25;0,0004;0,000228571;0,571428571;12;3;1;0
0,0012;EURUSD;168;FastMovement-Strategy;140;27;0,42;0,11;0,07;TRUE;4;0,0016;0,0016;0;0,25;0,0004;0,000228571;0,571428571;12;3;1;0
0,0012;EURUSD;168;FastMovement-Strategy;60;28;0,16;0,28;0,4;TRUE;30;0,0042;-0,0016;0,366666667;0,366666667;0,00014;0,0006;4,285714286;59;1;3;26
0,0012;EURUSD;168;FastMovement-Strategy;70;11;0,16;0,32;0,1;TRUE;18;0,003;-0,0005;0,277777778;0,555555556;0,000166667;0,000428571;2,571428571;42;7;2;9
0,0012;EURUSD;168;FastMovement-Strategy;150;4;0,35;0,04;0,08;FALSE;2;0,0014;0,0007;1;1;0,0007;0,0002;0,285714286;4;0;2;0
0,0012;EURUSD;168;FastMovement-Strategy;190;15;0,46;0,03;0,39;TRUE;2;0,0014;0,0008;0;1;0,0007;0,0002;0,285714286;11;0;2;0
0,0012;EURUSD;168;FastMovement-Strategy;120;19;0,4;0,01;0,25;TRUE;3;0,0015;0,001;0;1;0,0005;0,000214286;0,428571429;14;0;3;0
0,0012;EURUSD;168;FastMovement-Strategy;40;15;0,49;0,38;0,01;TRUE;3;0,0015;-0,0025;0;0,333333333;0,0005;0,000214286;0,428571429;7;2;1;0
0,0012;EURUSD;168;FastMovement-Strategy;120;7;0,24;0,29;0,21;TRUE;4;0,0016;-0,0025;0;0,5;0,0004;0,000228571;0,571428571;24;2;2;0
0,0012;EURUSD;168;FastMovement-Strategy;10;8;0,22;0,29;0,07;TRUE;4;0,0016;-0,0025;0;0,5;0,0004;0,000228571;0,571428571;11;1;0;3
0,0012;EURUSD;168;FastMovement-Strategy;110;8;0,28;0,14;0,12;TRUE;4;0,0016;-0,0025;0;0,5;0,0004;0,000228571;0,571428571;12;2;2;0
0,0012;EURUSD;168;FastMovement-Strategy;100;3;0,09;0,28;0,14;FALSE;25;0,0037;-0,0036;0,64;0,48;0,000148;0,000528571;3,571428571;56;12;4;9
0,0012;EURUSD;168;FastMovement-Strategy;120;7;0,21;0,01;0,22;TRUE;5;0,0017;0,0006;0,2;0,6;0,00034;0,000242857;0,714285714;17;2;3;0
0,0012;EURUSD;168;FastMovement-Strategy;140;15;0,18;0,18;0,2;TRUE;16;0,0028;-0,0029;0,3125;0,5625;0,000175;0,0004;2,285714286;79;7;4;5
0,0012;EURUSD;168;FastMovement-Strategy;140;28;0,05;0,34;0,37;FALSE;73;0,0085;0,0008;0,506849315;0,561643836;0,000116438;0,001214286;10,42857143;137;2;4;66
0,0012;EURUSD;168;FastMovement-Strategy;60;15;0,13;0,23;0,13;TRUE;31;0,0043;-1,00E-04;0,419354839;0,35483871;0,00013871;0,000614286;4,428571429;47;9;5;17
0,0011;EURUSD;168;FastMovement-Strategy;40;7;0,11;0,4;0,37;TRUE;27;0,0038;-0,005;0,407407407;0,444444444;0,000140741;0,000542857;3,857142857;39;1;1;25
0,0011;EURUSD;168;FastMovement-Strategy;30;13;0,14;0,06;0,16;TRUE;31;0,0042;0,0004;0,35483871;0,548387097;0,000135484;0,0006;4,428571429;21;4;15;12
0,0011;EURUSD;168;FastMovement-Strategy;110;5;0,14;0,14;0,12;TRUE;15;0,0026;-0,0028;0,333333333;0,4;0,000173333;0,000371429;2,142857143;30;9;6;0
0,0011;EURUSD;168;FastMovement-Strategy;150;17;0,47;0,09;0,04;FALSE;3;0,0014;0;1;0,666666667;0,000466667;0,0002;0,428571429;10;1;2;0
0,0011;EURUSD;168;FastMovement-Strategy;190;21;0,56;0,09;0,06;TRUE;3;0,0014;-0,0025;0;0,333333333;0,000466667;0,0002;0,428571429;8;2;1;0
0,0011;EURUSD;168;FastMovement-Strategy;130;5;0,28;0,11;0,13;FALSE;3;0,0014;0;1;0,666666667;0,000466667;0,0002;0,428571429;9;1;2;0
0,0011;EURUSD;168;FastMovement-Strategy;10;16;0,59;0,27;0,02;FALSE;3;0,0014;-0,0003;1;0,666666667;0,000466667;0,0002;0,428571429;8;1;0;2
0,0011;EURUSD;168;FastMovement-Strategy;60;12;0,29;0,31;0,28;TRUE;4;0,0015;0,0009;0;0,5;0,000375;0,000214286;0,571428571;52;1;1;2
0,0011;EURUSD;168;FastMovement-Strategy;100;27;0,43;0,23;0,08;TRUE;4;0,0015;0,0015;0;0,25;0,000375;0,000214286;0,571428571;11;3;1;0
0,0011;EURUSD;168;FastMovement-Strategy;190;9;0,32;0,24;0,21;TRUE;4;0,0015;-0,0025;0;0,5;0,000375;0,000214286;0,571428571;11;2;2;0
0,0011;EURUSD;168;FastMovement-Strategy;60;26;0,44;0,27;0,08;TRUE;4;0,0015;0,0015;0;0,25;0,000375;0,000214286;0,571428571;11;3;1;0
0,0011;EURUSD;168;FastMovement-Strategy;160;2;0,33;0,06;0,12;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;190;2;0,55;0,08;0,25;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;100;3;0,58;0,09;0,21;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;70;3;0,38;0,02;0,19;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;40;2;0,44;0,07;0,3;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;120;1;0,27;0,07;0,39;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;180;6;0,58;0,04;0,05;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;160;3;0,53;0,05;0,36;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;30;3;0,5;0,05;0,35;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;60;3;0,58;0,03;0,05;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;20;9;0,61;0,1;0,19;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;160;3;0,38;0,06;0,35;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;50;12;0,6;0,05;0,39;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;170;2;0,33;0,05;0,07;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;130;4;0,53;0,09;0,24;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;60;9;0,61;0,02;0,22;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;30;18;0,69;0,08;0,37;TRUE;1;0,0012;0,0012;0;1;0,0012;0,000171429;0,142857143;17;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;70;1;0,33;0,07;0,23;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;20;3;0,37;0,07;0,39;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;190;2;0,45;0,07;0,26;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;90;1;0,38;0,08;0,18;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;140;3;0,58;0,03;0,33;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;120;2;0,34;0,06;0,23;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;170;2;0,37;0,01;0,12;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;60;1;0,4;0,09;0,1;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;180;7;0,57;0,1;0,05;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;80;3;0,55;0,05;0,3;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;70;2;0,49;0,03;0,14;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;30;1;0,37;0,03;0,12;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
0,0011;EURUSD;168;FastMovement-Strategy;80;2;0,49;0,05;0,4;FALSE;1;0,0012;0,0012;1;1;0,0012;0,000171429;0,142857143;2;0;1;0
