Score;Pair;Time;Strategy;takeprofit;threshold;timeout;stochTimeframe;stoploss;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;holdtime/positions;hittimeout;hittp;hitsl;
-0,0157;USDCHF;168;SSIStochStrategy;0,3;0,18;30;360;0,14;93;-0,00639999999999996;-0,0123000000000001;0,354838709677419;0,397849462365591;-6,88172043010749E-05;-0,000914285714285709;13,2857142857143;29;83;2;8;
-0,0058999999999998;USDCHF;168;SSIStochStrategy;0,27;0,19;90;360;0,06;71;0,0012000000000002;-0,00560000000000016;0,366197183098592;0,338028169014085;1,69014084507071E-05;0,0001714285714286;10,1428571428571;50;30;5;36;
-0,0162999999999998;USDCHF;168;SSIStochStrategy;0,3;0,14;60;780;0,08;55;-0,0107999999999998;-0,0131;0,363636363636364;0,363636363636364;-0,000196363636363633;-0,00154285714285712;7,85714285714286;39;25;2;28;
-0,00620000000000017;USDCHF;168;SSIStochStrategy;0,16;0,1;60;540;0,17;47;-0,00150000000000017;-0,00510000000000022;0,51063829787234;0,468085106382979;-3,19148936170248E-05;-0,000214285714285738;6,71428571428571;49;29;8;10;
-0,0187000000000001;USDCHF;168;SSIStochStrategy;0,11;0,13;150;1080;0,06;54;-0,0133000000000001;-0,0138;0,407407407407407;0,240740740740741;-0,000246296296296298;-0,00190000000000001;7,71428571428572;38;4;10;40;
-0,0101000000000001;USDCHF;168;SSIStochStrategy;0,2;0,22;30;960;0,03;88;-0,00130000000000008;-0,0092000000000001;0,25;0,284090909090909;-1,47727272727282E-05;-0,000185714285714297;12,5714285714286;14;25;4;59;
-0,0243;USDCHF;168;SSIStochStrategy;0,28;0,22;210;420;0,26;29;-0,0214;-0,0218;0,413793103448276;0,344827586206897;-0,000737931034482758;-0,00305714285714285;4,14285714285714;273;16;3;9;
-0,00269999999999969;USDCHF;168;SSIStochStrategy;0,15;0,21;120;1020;0,09;39;0,00120000000000031;-0,00560000000000005;0,307692307692308;0,41025641025641;3,07692307692388E-05;0,000171428571428616;5,57142857142857;58;9;12;17;
-0,0641000000000009;USDCHF;168;SSIStochStrategy;0,13;0,1;180;60;0,02;266;-0,0375000000000009;-0,0382000000000009;0,496240601503759;0,0977443609022556;-0,000140977443609026;-0,00535714285714298;38;16;5;20;240;
-0,0202999999999998;USDCHF;168;SSIStochStrategy;0,26;0,18;210;840;0,19;26;-0,0176999999999998;-0,0227999999999998;0,384615384615385;0,307692307692308;-0,000680769230769224;-0,0025285714285714;3,71428571428571;136;11;3;11;
-0,00859999999999932;USDCHF;168;SSIStochStrategy;0,04;0,19;180;120;0,08;135;0,00490000000000068;-0,00739999999999985;0,525925925925926;0,637037037037037;3,62962962963013E-05;0,000700000000000097;19,2857142857143;32;6;85;44;
-0,0274000000000008;USDCHF;168;SSIStochStrategy;0,03;0,11;60;720;0,02;144;-0,0130000000000008;-0,0131000000000009;0,513888888888889;0,305555555555556;-9,02777777777832E-05;-0,00185714285714297;20,5714285714286;4;0;44;100;
-0,00459999999999988;USDCHF;168;SSIStochStrategy;0,09;0,19;90;960;0,11;45;-9,9999999999878E-05;-0,00599999999999989;0,311111111111111;0,466666666666667;-2,22222222221951E-06;-1,42857142856969E-05;6,42857142857143;47;10;17;18;
-0,0102999999999998;USDCHF;168;SSIStochStrategy;0,09;0,2;150;480;0,14;51;-0,00519999999999976;-0,00779999999999959;0,431372549019608;0,529411764705882;-0,000101960784313721;-0,000742857142857109;7,28571428571428;68;12;22;17;
-0,0192000000000003;USDCHF;168;SSIStochStrategy;0,21;0,11;210;300;0,18;44;-0,0148000000000003;-0,0148000000000003;0,5;0,363636363636364;-0,000336363636363642;-0,00211428571428575;6,28571428571429;116;12;11;20;
-0,0164000000000004;USDCHF;168;SSIStochStrategy;0,28;0,16;60;960;0,15;46;-0,0118000000000004;-0,0138000000000004;0,326086956521739;0,434782608695652;-0,000256521739130443;-0,00168571428571434;6,57142857142857;52;35;1;10;
-0,00399999999999873;USDCHF;168;SSIStochStrategy;0,14;0,18;60;300;0,08;86;0,00460000000000127;-0,00669999999999948;0,383720930232558;0,441860465116279;5,3488372093038E-05;0,000657142857143039;12,2857142857143;40;41;15;30;
-0,0168000000000003;USDCHF;168;SSIStochStrategy;0,14;0,17;210;540;0,31;32;-0,0136000000000003;-0,0151000000000001;0,40625;0,375;-0,000425000000000009;-0,00194285714285718;4,57142857142857;222;16;10;6;
-0,0111999999999999;USDCHF;168;SSIStochStrategy;0,1;0,17;90;900;0,1;48;-0,00639999999999985;-0,0107999999999999;0,333333333333333;0,416666666666667;-0,00013333333333333;-0,000914285714285693;6,85714285714286;47;11;15;22;
-0,0110000000000001;USDCHF;168;SSIStochStrategy;0,25;0,21;210;960;0,13;29;-0,00810000000000011;-0,0136000000000002;0,379310344827586;0,344827586206897;-0,00027931034482759;-0,00115714285714287;4,14285714285714;115;8;6;15;
-0,00810000000000038;USDCHF;168;SSIStochStrategy;0,01;0,21;60;660;0,17;95;0,00139999999999962;-0,00340000000000007;0,4;0,894736842105263;1,47368421052592E-05;0,000199999999999946;13,5714285714286;12;4;85;6;
-0,00779999999999977;USDCHF;168;SSIStochStrategy;0,04;0,2;90;300;0,19;97;0,00190000000000023;-0,00369999999999993;0,391752577319588;0,721649484536082;1,95876288659818E-05;0,000271428571428605;13,8571428571429;38;20;66;10;
-0,0111000000000003;USDCHF;168;SSIStochStrategy;0,2;0,16;180;1140;0,05;49;-0,00620000000000032;-0,00910000000000033;0,387755102040816;0,224489795918367;-0,000126530612244904;-0,000885714285714331;7;47;5;6;38;
-0,00750000000000015;USDCHF;168;SSIStochStrategy;0,2;0,12;120;480;0,24;38;-0,00370000000000015;-0,00820000000000021;0,447368421052632;0,394736842105263;-9,73684210526355E-05;-0,00052857142857145;5,42857142857143;173;23;9;5;
-0,0105000000000003;USDCHF;168;SSIStochStrategy;0,26;0,11;150;840;0,25;27;-0,00780000000000025;-0,0157;0,444444444444444;0,407407407407407;-0,000288888888888898;-0,00111428571428575;3,85714285714286;226;18;4;5;
0,00399999999999936;USDCHF;168;SSIStochStrategy;0,24;0,14;180;120;0,11;58;0,00979999999999936;-0,00600000000000012;0,517241379310345;0,431034482758621;0,000168965517241368;0,00139999999999991;8,28571428571428;106;20;14;24;
-0,00579999999999978;USDCHF;168;SSIStochStrategy;0,14;0,08;150;240;0,26;48;-0,000999999999999779;-0,00139999999999996;0,5;0,5;-2,08333333333287E-05;-0,000142857142857111;6,85714285714286;165;24;18;5;
-0,0475000000000009;USDCHF;168;SSIStochStrategy;0,01;0,12;60;240;0,05;202;-0,0273000000000009;-0,0273000000000009;0,475247524752475;0,594059405940594;-0,00013514851485149;-0,00390000000000013;28,8571428571429;8;3;120;79;
0,0108;USDCHF;168;SSIStochStrategy;0,21;0,1;180;180;0,28;41;0,0149;-0,00139999999999996;0,585365853658537;0,609756097560976;0,000363414634146342;0,00212857142857143;5,85714285714286;216;26;12;2;
