Score;Pair;Time;Strategy;Threshold Open;Threshold Close;Follow Trend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;holdtime/positions;
-0,796599999999986;EURUSD;912;SSIStrategy;0,01;0,15;False;5514;-0,245199999999986;-0,296699999999986;0,999818643453029;0,00525933986216902;-4,44686253173714E-05;-0,006452631578947;145,105263157895;0,125;-0,00012571202531645;0,00250344827586206;-9,58936253421924E-05;0,00897730789685366;0,000339098254096575;0,00105129431801191;12;
-0,0278;USDCHF;912;SSIStrategy;0,35;0,29;True;4;-0,0274;-0,0274;0,25;0,5;-0,00685;-0,000721052631578947;0,105263157894737;0,5;-0,0212;0,00750000000000001;-0,00685;0,00459999999999999;0,004;0,01498340748962;12423;
-1,5902;USDJPY;912;SSIStrategy;0,33;0,36;True;2;-1,59;-1,59;0,5;0,5;-0,795000000000002;-0,041842105263158;0,0526315789473684;0,5;-2,22999999999999;0,639999999999986;-0,795000000000002;0;0;1,43499999999999;22771;
-0,0627000000000001;GBPUSD;912;SSIStrategy;0,33;0,22;False;7;-0,0620000000000001;-0,0620000000000001;0,571428571428571;0,285714285714286;-0,00885714285714287;-0,00163157894736842;0,184210526315789;0,285714285714286;-0,01518;0,00695000000000001;-0,00885714285714287;0,00625000000000009;0,0116722577079158;0,0144368434562266;6062;
0;USDJPY;912;SSIStrategy;0,46;0,35;True;0;0;0;n. def.;n. def.;n. def.;0;0;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;
-0,160000000000001;GBPUSD;912;SSIStrategy;0,28;0,47;True;1214;-0,0386000000000013;-0,0388000000000013;1;0,0057660626029654;-3,17957166392103E-05;-0,00101578947368424;31,9473684210526;0,5;-0,000112159709618877;0,0033142857142857;-6,91756272401457E-05;0,00576675907283122;0,000272544406696767;0,000797475655282327;40;
0,0108;USDCHF;912;SSIStrategy;0,5;0,35;True;1;0,0109;0;0;1;0,0109;0,000286842105263158;0,0263157894736842;1;n. def.;0,0109;0,0109;0;n. def.;0;12766;
-0,0756000000000018;GBPUSD;912;SSIStrategy;0,07;0,02;True;800;0,00439999999999818;-0,0568000000000017;0,9575;0,02875;5,49999999999773E-06;0,000115789473684163;21,0526315789474;0,571428571428571;-0,000238868613138691;0,0058826086956522;7,70577933449769E-06;0,00788028095801891;0,000816148711916978;0,00214224708715777;60;
0,0386000000000001;USDCHF;912;SSIStrategy;0,37;0,49;False;1;0,0387000000000001;0;1;1;0,0387000000000001;0,00101842105263158;0,0263157894736842;1;n. def.;0,0387000000000001;0,0387000000000001;0;n. def.;0;53902;
-0,0289000000000002;GBPUSD;912;SSIStrategy;0,47;0,07;False;3;-0,0286000000000002;-0,0341000000000002;0,333333333333333;0,333333333333333;-0,00953333333333339;-0,000752631578947373;0,0789473684210526;0,5;-0,0170500000000001;0,00550000000000006;-0,00953333333333339;0;0,000749999999999917;0,0106477958073752;1044;
-0,0141000000000001;USDCHF;912;SSIStrategy;0,43;0,17;False;2;-0,0139000000000001;-0,0139000000000001;1;0;-0,00695000000000007;-0,000365789473684214;0,0526315789473684;0;-0,00695000000000007;n. def.;-0,00695000000000007;n. def.;0,00614999999999993;0,00614999999999993;6759;
